Make,2022_Sales,2021_Sales,2020_Sales,Mean,Total
Toyota,16051,13053,10021,13041.66667,39125
Hyun,12709,10740,8180,10543,31629
VW,11739,12617,10691,11682.33333,35047
Kia,7942,6636,5275,6617.666667,19853
Skoda,7618,9032,7418,8022.666667,24068
Ford,5072,7452,6792,6438.666667,19316
Peug,4667,5473,4666,4935.333333,14806
Audi,4333,4245,3665,4081,12243
Nissan,4111,4854,5254,4739.666667,14219
BMW,4088,4457,3128,3891,11673
Rena,4041,4106,4067,4071.333333,12214
Merc,3769,3263,2974,3335.333333,10006
Ferrari,7999,2343,1232,3858,11574
